ID,disparity
ABALPAPPAAPA,14.6
ABARAPAPAAPA,13.4
MSAAAAAPAA,14
MSAAAAPAA,13
ABARAPAPAPP,17.5
MSPAAAPAA,11.1
ABALPAAAPPP,13.1
ABARAPAAPPP,13
ABARAAPPAAA,13.4
ABARAAPAPAAV,15.9
ABARAAPPPAAV,14.1
MSPAAPAAA,11.3
ABARAAPAPPA,15.2
ABARAAPPPPA,14
ABARAAPAPPP,14.2
ABARAAPPPPP,14.2
MSPAAAAAA,15.8
MSPAAAPAP,13.6
MSAAPAAPAA,14.4
MSPAPAAPAA,12.7
MSAAAAAPAP,14.3
MSAAPAPAA,14.1
MSPAPAPAA,15.1
ABPRPAAAAPA,15.6
ABPLAPAAPA,15
ABPRAPAAPA,14.8
ABALPAPAAPA,13.4
ABALPAAPPAA,13.9
ABARAAAPPPA,14.3
