ID,disparity
x55_T2_d4Lppdd,4.2
x55_T2_d4Lppdp,4
x55_T2_d4Lpddp,4.9
x55_T2_d4Lpddd,5.3
x55_T2_d4Lpdpd,4
x55_T2_d4Lpdpp,4.4
x55_T2_d4LddAd,4.9
x55_T2_d4LddAp,5.6
x55_T2_d4LddPp,5.4
x55_T2_d4Ldpdd,4.5
x55_T2_d4Ldpdp,3.7
x55_T2_d4Ldppp,5.1
x55_T2_d4Ldppd,6.1
x55_T2_c4ApdT,5.3
x55_T2_c4ApdB,5.9
x55_T2_c4Appd,5.6
x55_T2_c4Appp,5.6
x55_T2_c4Adpd,4.7
x55_T2_c4Adpp,5
x55_T2_c4Addd,4.7
x55_T2_c4Addp,4.1
x55_T2_c4PddAd,5.9
x55_T2_c4PddAp,4
x55_T2_c4PddPd,4.1
x55_T2_c4PddPp,3.7
x55_T2_c4Pdppp,4.2
x55_T2_c4Pdppd,3.2
x55_T2_c4Pdpdp,3
x55_T2_c4Pdpdd,3.9
x55_T2_c4Ppdpd,5.1
x55_T2_c4Ppdpp,4.5
x55_T2_c4PpddA,5.1
x55_T2_c4PpddP,6.1
x55_T2_c4PppAp,5.1
x55_T2_c4PppAd,5.3
x55_T2_c4PppPd,5
x55_T2_c4PppPp,5.9
x95_T2_d8pNA,4.7
x95_T2_d8pNP,4.5
x95_T2_d8ddTB,4.7
x95_T2_d8ddTT,4.8
x95_T2_d8ddB,4.1
x95_T2_d8dppp,5.5
x95_T2_d8dppd,3.7
x95_T2_d8dpdp,4.1
x95_T2_d8dpdd,4.4
x95_T2_c8pdp,4.6
x95_T2_c8pdd,4.3
x95_T2_c8pp,5
x95_T2_c8dppp,4.7
x95_T2_c8dppd,3.9
x95_T2_c8dpdA,4.3
x95_T2_c8dpdP,4.6
x95_T2_c8dddd,5.4
x95_T2_c8dddp,4.4
x95_T2_c8ddpd,4.8
x95_T2_c8ddpp,4.1
x89_T3_a7Pdd,4.3
x89_T3_a7Pdp,3.9
x89_T3_a7Ppp,4.6
x89_T3_a7Ppd,4.2
x89_T3_a7Adpp,4.7
x89_T3_a7Adpd,5
x89_T3_a7Addp,5
x89_T3_a7Addd,5.8
x89_T3_a7Appd,3.6
x89_T3_a7Appp,4.3
x89_T3_a7Apdd,3.8
x89_T3_a7Apdp,4.4
x89_T3_b7AAd,4
x89_T3_b7AAp,3.6
x89_T3_b7APd,3.6
x89_T3_b7APp,4.1
x94_T2_b8P,4.7
