"cell","x1","y1","z1","Xnorm","Ynorm","Znorm"
"x_00041",-2.40981,5.70687,-15.609,-0.0587335494557816,-0.367511944394144,-0.447134102216756
"x_00042",-11.2735,2.40031,-15.3339,-0.264508878768184,-0.44427551271515,-0.440747507796843
"x_00043",7.0798,-6.18043,-7.63058,0.161572849210718,-0.643482005636733,-0.261910791959667
"x_00044",5.87244,-5.27036,-14.7006,0.1335433376192,-0.622354241246581,-0.426045107774556
"x_00045",-6.81853,2.98937,-15.4982,-0.161084354802784,-0.430600168080493,-0.444561820640143
"x_00046",-8.94968,-4.88435,-15.5471,-0.21056014796163,-0.613392811540908,-0.445697060433431
"x_00047",1.89452,-5.41133,12.3609,0.0411937859112328,-0.625626935595455,0.202202165560542
"x_00048",12.7168,-4.86767,2.55658,0.292438835197819,-0.613005576372154,-0.0254103949739728
"x_00049",0.388136,-7.84003,2.24427,0.00622227137598464,-0.682010511995468,-0.0326608395515197
"x_00050",3.21815,7.32104,-11.7915,0.0719225680705564,-0.330038119912895,-0.358508787065832
"x_00051",8.95262,1.68848,-14.7832,0.205051372516796,-0.460801028912631,-0.427962711188169
"x_00052",6.26207,0.938958,-15.0642,0.142588807571329,-0.478201585156914,-0.434486277280483
"x_00053",20.0921,2.91627,8.73821,0.463660390360258,-0.432297223886002,0.118099469307994
"x_00054",-4.95587,-1.15788,-15.8148,-0.117841701359688,-0.526880806786366,-0.451911859874401
"x_00055",-8.76288,3.07464,-15.4153,-0.206223485520191,-0.428620579181234,-0.442637252565221
"x_00056",9.87507,1.6318,-14.695,0.226466545263612,-0.462116885589187,-0.425915100763464
"x_00057",-11.3946,-3.03702,-15.2531,-0.267320280383057,-0.570506052290677,-0.438871692351081
"x_00058",2.61411,-0.401976,-15.4566,0.0578994546812272,-0.509332088980513,-0.443596054272028
"x_00059",8.26953,-3.98477,-14.948,0.189193070872672,-0.592508578141178,-0.431788631800316
"x_00060",-0.446929,-8.81051,-5.51411,-0.0131642116093478,-0.704540727017778,-0.212775802894186
"x_00061",9.91261,0.802721,-14.6773,0.227338056548685,-0.481364400365877,-0.425504185746261
"x_00062",5.19466,2.03142,-15.1735,0.117808310480236,-0.452839492415484,-0.437023735550554
"x_00063",-8.65579,-4.96898,-16.3181,-0.203737333588426,-0.615357542496042,-0.463596239996329
"x_00064",12.4011,-1.62875,-9.21244,0.285109689947486,-0.537812307020843,-0.298634522417989
